GS1 Artikelcode (GTIN);Status;Productclassificatie;Gaat naar de consument;Verpakkings type;Landen of Regio's;Productomschrijving (max 35 tekens);Taal van productomschrijving;Merk;Submerk;Netto inhoud;Eenheid;Afbeelding (max 500 tekens);Bron;
8720387440283;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440283;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440283;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440283;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440283;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440290;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Global Market;Menstruastie ondergoed Zwart XL;Nederlands;Bnatural;;40;Gram;;MijnGS1;
8720387440290;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440290;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440290;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
8720387440290;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Duitsland;;;Bnatural;;;;;MijnGS1;
8720387440290;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Nederland;;;Bnatural;;;;;MijnGS1;
8720387440290;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Spanje;;;Bnatural;;;;;MijnGS1;
8720387440306;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Global Market;Menstruastie ondergoed Zwart 2XL;Nederlands;Bnatural;;40;Gram;;MijnGS1;
8720387440306;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;België;;;Bnatural;;;;;MijnGS1;
8720387440306;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Europese Unie;;;Bnatural;;;;;MijnGS1;
8720387440306;ACTIVE;Vrouwelijke Hygiëne – Inlegkruisjes;Ja;;Frankrijk;;;Bnatural;;;;;MijnGS1;
