Type;Type productidentificatie;Productidentificatie;Artikelomschrijving;Datum;Bestelnummer;Aantal;"Tarief-
groep";Tarief;Bedrag;BTW %;Btw-bedrag;"Bedrag
(incl. BTW)";Land van verzending;Reden;Opmerking
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;23-12-2020;1171669902;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440085;Among Us | Rood | Muts | Among US Knuffel | Plushie;23-12-2020;1177599015;1;;€28,850000;-€28,850000;0;€0,000000;-€28,850000;NL;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;23-12-2020;1177617646;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;23-12-2020;1177671151;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;NL;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;23-12-2020;1177685005;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;NL;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440092;Among Us - Muts - Rood  - Blauw - Beanie - Unisex - One size;23-12-2020;1177756907;1;;€16,000000;-€16,000000;0;€0,000000;-€16,000000;NL;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;23-12-2020;1177836727;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;NL;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;25-12-2020;1178415911;1;;€19,300000;-€19,300000;0;€0,000000;-€19,300000;NL;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;25-12-2020;1175777300;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;25-12-2020;1177222820;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;NL;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440092;Among Us - Muts - Rood  - Blauw - Beanie - Unisex - One size;28-12-2020;1179200073;2;;€19,000000;-€38,000000;0;€0,000000;-€38,000000;NL;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;28-12-2020;1178919717;1;;€17,850000;-€17,850000;0;€0,000000;-€17,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;28-12-2020;1178875745;1;;€17,300000;-€17,300000;0;€0,000000;-€17,300000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;28-12-2020;1178691612;1;;€17,300000;-€17,300000;0;€0,000000;-€17,300000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440092;Among Us - Muts - Rood  - Blauw - Beanie - Unisex - One size;28-12-2020;1178030247;1;;€19,000000;-€19,000000;0;€0,000000;-€19,000000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;29-12-2020;1179653732;1;;€17,300000;-€17,300000;0;€0,000000;-€17,300000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten Totaal;;;;;;80;;;-€1.557,35;;€0,00;-€1.557,35;;;
Correctie verkoopprijs artikel(en);EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;22-12-2020;1175601523;1;;€19,850000;€19,850000;0;€0,000000;€19,850000;BE;;
Correctie verkoopprijs artikel(en);EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;30-12-2020;1176930140;1;;€19,850000;€19,850000;0;€0,000000;€19,850000;BE;;
Correctie verkoopprijs artikel(en);EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;30-12-2020;1176930140;1;;€19,850000;€19,850000;0;€0,000000;€19,850000;BE;;
Correctie verkoopprijs artikel(en) Totaal;;;;;;3;;;€59,55;;€0,00;€59,55;;;
Bijdrage aan pakketzegel(s);Track and Trace;05112977311076;Verzendzegel - DPD Pakket - NL naar BE;03-12-2020;1168886801;1;;€4,790000;€4,790000;21;€1,005900;€5,795900;;;
